Designator,Comment,Footprint,MidX,MidY,Rotation,Layer
C1,22uF,C_0805_2012Metric,31.5,-13.1,270,top
C2,100nF,C_0402_1005Metric,33.1,-12.75,270,top
C3,22uF,C_0805_2012Metric,20.8,-3.8,180,top
C4,10uF,CP_EIA-3216-18_Kemet-A,16,-7.9,270,top
C5,100nF,C_0402_1005Metric,14.4,-7.7,270,top
C6,22uF,C_0805_2012Metric,37.2,-18.9,270,top
C7,100nF,C_0402_1005Metric,38.8,-16.8,90,top
C8,100nF,C_0402_1005Metric,38.8,-19,270,top
C9,100nF,C_0402_1005Metric,51,-19.6,0,top
C10,22uF,C_0805_2012Metric,57.3,-38.4,270,top
C11,0.1uF,C_0402_1005Metric,58.9,-38,270,top
C12,22uF,C_0805_2012Metric,46.3,-38.7,90,top
C13,100nF,C_0402_1005Metric,40.2,-32,270,top
C14,100nF,C_0402_1005Metric,51.1,-18,0,top
C15,15pF,C_0402_1005Metric,37.7,-23.5,180,top
C16,15pF,C_0402_1005Metric,39.9,-23.5,0,top
D1,SS34,D_SMA,26.9,-12.2,180,top
D2,LEDG,LED_0603_1608Metric,13.9,-15.5,0,top
D3,LEDR,LED_0603_1608Metric,13.9,-13.8,0,top
D4,B5819W SL,D_SOD-123,33.3,-9.8,180,top
D5,PWR,LED_0805_2012Metric,37.6,-6.4,180,top
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,2.4,-18.2,270,top
J5,BMP180,BMP180_Module,18.9,-39.1,90,top
J6,ICSP,PinHeader_2x03_P2.54mm_Vertical,31.84,-22.26,270,top
J7,PROGRAMMING,PinSocket_1x04_P2.54mm_Vertical,47.72,-6.3,90,top
L1,22uH,L_7.3x7.3_H4.5,26.6,-6,270,top
R1,5.1K,R_0402_1005Metric,8.4,-17.25,90,top
R2,5.1K,R_0402_1005Metric,8.4,-19.25,270,top
R3,1K,R_0402_1005Metric,11.3,-15.3,0,top
R4,1K,R_0402_1005Metric,11.3,-13.8,0,top
R5,7.5K,R_0402_1005Metric,32.2,-6.5,90,top
R6,1.2K,R_0402_1005Metric,15.9,-10.9,0,top
R7,1K,R_0402_1005Metric,33.2,-6.5,270,top
R8,4.7K,R_0402_1005Metric,32.8,-31.61,90,top
R10,1K,R_0402_1005Metric,38.4,-8,0,top
R11,10K,R_0402_1005Metric,61,-10.5,90,top
R12,10K,R_0402_1005Metric,24.1,-15.51,270,top
R13,1K,R_0402_1005Metric,45,-10.2,0,top
R14,1K,R_0402_1005Metric,45,-9.2,0,top
R15,1K,R_0402_1005Metric,53.6,-26.89,90,top
R16,2K,R_0402_1005Metric,53.6,-28.91,270,top
R17,10K,R_0402_1005Metric,53.6,-24.9,270,top
RV1,10K,Potentiometer_Bourns_3296W_Vertical,75.5,-12.7,270,top
SW2,RESET,SW_SPST_SKQG_WithoutStem,20.6,-18.7,90,top
U1,MT3608,SOT-23-6,20.7,-6.8,90,top
U2,TP4056,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,10.1,-8.925,180,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,51.8,-37.4,0,top
U4,ESP-01,ESP-01,56.4,-20.8,0,top
U6,ATMEGA328P_TQFP,TQFP-32_7x7mm_P0.8mm,44.7,-17.6,0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,38.3,-25.8,0,top
